sku,month,unit_cost,std_daily,D_month,mean_daily,D_annual_equiv,EOQ,Recommended_Order,Safety_Stock,Reorder_Point,Cycle_Time_days,Annual_Order_Cost,Annual_Holding_Cost,Annual_Purchase_Cost,Total_Annual_Cost
SKU-09760,1,22227.8,592.0821929043593,1863.7,66.56,24294.4,1479,4441,2577,3043,22.2,3286370.0,3286370.0,540011418.0,546584158.0
SKU-09762,1,23078.54,218.8508685045859,684.7,24.45,8925.2,880,1638,953,1124,36.0,2029686.0,2029686.0,205981241.0,210040613.0
SKU-12275,1,19972.95,251.01967757318502,516.6,18.45,6734.5,822,1610,1093,1222,44.5,1640166.0,1640166.0,134507156.0,137787487.0
SKU-12176,1,160213.01,203.05853097779925,246.3,8.8,3210.9,201,1130,884,946,22.8,3207557.0,3207557.0,514421229.0,520836343.0
SKU-00003,1,0.0,6.786880218817973,243.0,8.68,3167.4,0,273,30,91,0.0,0.0,0.0,0.0,0.0
SKU-14323,1,164503.0,44.31753973698693,166.3,5.94,2167.9,163,360,193,235,27.3,2670690.0,2670690.0,356629349.0,361970729.0
SKU-09521,1,77473.65,45.247134039651186,160.6,5.74,2093.5,233,358,197,238,40.5,1801071.0,1801071.0,162192855.0,165794997.0
SKU-00002,1,0.0,4.9506751819804204,150.4,5.37,1961.1,0,172,22,60,0.0,0.0,0.0,0.0,0.0
SKU-09497,1,10914.41,53.47182304017762,136.9,4.89,1784.8,572,572,233,267,117.0,624177.0,624177.0,19479875.0,20728230.0
SKU-14303,1,115968.5,25.300128308597927,136.4,4.87,1778.3,176,247,111,145,35.9,2030870.0,2030870.0,206221677.0,210283417.0
SKU-09475,1,11217.04,20.599350928575678,136.2,4.87,1775.7,563,563,90,124,115.7,631164.0,631164.0,19918421.0,21180750.0
SKU-14320,1,150962.29,43.80588568810056,134.9,4.82,1758.7,153,326,191,225,31.7,2304364.0,2304364.0,265504721.0,270113449.0
SKU-09510,1,76301.59,25.145977180871334,131.6,4.7,1714.9,213,241,110,143,45.1,1617715.0,1617715.0,130850025.0,134085454.0
SKU-12279,1,18624.78,148.63098329791973,127.8,4.56,1665.3,423,775,647,679,92.7,787606.0,787606.0,31016125.0,32591337.0
SKU-15599,1,101009.17,63.419283310801326,115.4,4.12,1504.0,173,392,276,305,41.9,1743107.0,1743107.0,151921033.0,155407246.0
SKU-14806,1,153557.05,35.03174677219297,98.0,3.5,1277.7,129,251,153,177,36.9,1980881.0,1980881.0,196194424.0,200156185.0
SKU-15172,1,95916.26,11.246418044439297,94.3,3.37,1228.8,161,161,49,73,47.5,1535337.0,1535337.0,117862950.0,120933624.0
SKU-12534,1,146803.89,93.62863351843066,87.9,3.14,1145.3,125,496,408,430,39.8,1833756.0,1833756.0,168132991.0,171800502.0
SKU-15010,1,55601.95,19.229378938876998,82.3,2.94,1072.7,197,197,84,105,66.8,1092169.0,1092169.0,59641603.0,61825940.0
