sku,month,unit_cost,std_daily,D_month,mean_daily,D_annual_equiv,EOQ,Recommended_Order,Safety_Stock,Reorder_Point,Cycle_Time_days,Annual_Order_Cost,Annual_Holding_Cost,Annual_Purchase_Cost,Total_Annual_Cost
SKU-09760,1,22227.8,592.0821929043593,1192.5,42.59,15545.5,1183,3770,2577,2875,27.8,2628848.0,2628848.0,345542055.0,350799750.0
SKU-09762,1,23078.54,218.8508685045859,366.6,13.09,4779.2,644,1320,953,1045,49.2,1485237.0,1485237.0,110296436.0,113266910.0
SKU-12275,1,19972.95,251.01967757318502,324.9,11.6,4234.8,652,1418,1093,1174,56.1,1300632.0,1300632.0,84582200.0,87183464.0
SKU-00003,1,0.0,6.786880218817973,205.7,7.35,2681.0,0,236,30,81,0.0,0.0,0.0,0.0,0.0
SKU-09497,1,10914.41,53.47182304017762,181.0,6.47,2359.9,658,658,233,278,101.7,717728.0,717728.0,25756684.0,27192141.0
SKU-12176,1,160213.01,203.05853097779925,167.5,5.98,2183.7,166,1052,884,926,27.6,2645210.0,2645210.0,349856923.0,355147344.0
SKU-09521,1,77473.65,45.247134039651186,131.4,4.69,1713.3,211,329,197,230,44.8,1629346.0,1629346.0,132738342.0,135997033.0
SKU-09510,1,76301.59,25.145977180871334,115.6,4.13,1507.3,199,226,110,139,48.1,1516615.0,1516615.0,115006123.0,118039354.0
SKU-14323,1,164503.0,44.31753973698693,106.9,3.82,1393.8,131,300,193,220,34.1,2141451.0,2141451.0,229290639.0,233573542.0
SKU-15599,1,101009.17,63.419283310801326,98.5,3.52,1283.8,160,375,276,301,45.3,1610453.0,1610453.0,129677895.0,132898801.0
SKU-09475,1,11217.04,20.599350928575678,94.4,3.37,1230.9,469,469,90,114,138.9,525489.0,525489.0,13806945.0,14857924.0
SKU-14320,1,150962.29,43.80588568810056,93.4,3.34,1218.2,128,285,191,214,38.1,1917788.0,1917788.0,183895609.0,187731185.0
SKU-14303,1,115968.5,25.300128308597927,89.6,3.2,1168.2,142,200,111,133,44.3,1646079.0,1646079.0,135478774.0,138770931.0
SKU-00002,1,0.0,4.9506751819804204,81.3,2.9,1060.3,0,103,22,42,0.0,0.0,0.0,0.0,0.0
SKU-12534,1,146803.89,93.62863351843066,73.1,2.61,953.4,114,481,408,426,43.6,1673107.0,1673107.0,139964319.0,143310532.0
SKU-14806,1,153557.05,35.03174677219297,66.0,2.36,860.3,106,219,153,169,44.9,1625496.0,1625496.0,132111885.0,135362877.0
SKU-12537,1,146803.89,67.77508562283634,61.0,2.18,794.9,105,356,295,311,47.8,1527663.0,1527663.0,116687729.0,119743055.0
SKU-14741,1,142375.03,13.979883414203217,56.2,2.01,732.4,102,118,61,75,50.5,1444164.0,1444164.0,104280467.0,107168794.0
SKU-15421,1,64608.75,14.468828286065184,54.9,1.96,715.4,149,149,63,77,75.9,961467.0,961467.0,46220953.0,48143887.0
SKU-15974,1,232524.71,7.159445927705965,54.9,1.96,715.1,79,87,32,45,40.0,1823614.0,1823614.0,166278470.0,169925698.0
